Dataset,CostWeight,GroundingWeight,SelectedInterface,ALISScore,NDCG@20,CostVsDirect,WeightedUCR
Amazon Books,0.25,0.0,Remove Repair,0.8068857459254877,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.25,0.0,Direct,0.55152,0.03119607385806312,1.0,0.0
Yelp,0.25,0.0,Raw Profile,0.7029899187484995,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.25,0.05,Remove Repair,0.8068857459254877,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.25,0.05,Direct,0.55152,0.03119607385806312,1.0,0.0
Yelp,0.25,0.05,Raw Profile,0.6529899187484994,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.25,0.1,Remove Repair,0.8068857459254877,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.25,0.1,Direct,0.55152,0.03119607385806312,1.0,0.0
Yelp,0.25,0.1,Raw Profile,0.6029899187484995,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.25,0.2,Remove Repair,0.8068857459254877,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.25,0.2,Direct,0.55152,0.03119607385806312,1.0,0.0
Yelp,0.25,0.2,Raw Profile,0.5029899187484994,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.25,0.35,Remove Repair,0.8068857459254877,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.25,0.35,Direct,0.55152,0.03119607385806312,1.0,0.0
Yelp,0.25,0.35,Raw Profile,0.3529899187484995,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.25,0.5,Remove Repair,0.8068857459254877,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.25,0.5,Direct,0.55152,0.03119607385806312,1.0,0.0
Yelp,0.25,0.5,Remove Repair,0.29261191060587893,0.016006324127967902,0.4691203250060023,0.0
Amazon Books,0.35,0.0,Remove Repair,0.7503649014385398,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.35,0.0,Direct,0.45152,0.03119607385806312,1.0,0.0
Yelp,0.35,0.0,Raw Profile,0.6560778862478993,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.35,0.05,Remove Repair,0.7503649014385398,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.35,0.05,Direct,0.45152,0.03119607385806312,1.0,0.0
Yelp,0.35,0.05,Raw Profile,0.6060778862478993,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.35,0.1,Remove Repair,0.7503649014385398,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.35,0.1,Direct,0.45152,0.03119607385806312,1.0,0.0
Yelp,0.35,0.1,Raw Profile,0.5560778862478993,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.35,0.2,Remove Repair,0.7503649014385398,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.35,0.2,Direct,0.45152,0.03119607385806312,1.0,0.0
Yelp,0.35,0.2,Raw Profile,0.4560778862478993,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.35,0.35,Remove Repair,0.7503649014385398,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.35,0.35,Direct,0.45152,0.03119607385806312,1.0,0.0
Yelp,0.35,0.35,Raw Profile,0.30607788624789933,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.35,0.5,Remove Repair,0.7503649014385398,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.35,0.5,Direct,0.45152,0.03119607385806312,1.0,0.0
Yelp,0.35,0.5,Remove Repair,0.24569987810527866,0.016006324127967902,0.4691203250060023,0.0
Amazon Books,0.45,0.0,Remove Repair,0.6938440569515918,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.45,0.0,Direct,0.35152,0.03119607385806312,1.0,0.0
Yelp,0.45,0.0,Raw Profile,0.609165853747299,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.45,0.05,Remove Repair,0.6938440569515918,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.45,0.05,Direct,0.35152,0.03119607385806312,1.0,0.0
Yelp,0.45,0.05,Raw Profile,0.559165853747299,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.45,0.1,Remove Repair,0.6938440569515918,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.45,0.1,Direct,0.35152,0.03119607385806312,1.0,0.0
Yelp,0.45,0.1,Raw Profile,0.5091658537472991,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.45,0.2,Remove Repair,0.6938440569515918,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.45,0.2,Direct,0.35152,0.03119607385806312,1.0,0.0
Yelp,0.45,0.2,Raw Profile,0.409165853747299,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.45,0.35,Remove Repair,0.6938440569515918,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.45,0.35,Direct,0.35152,0.03119607385806312,1.0,0.0
Yelp,0.45,0.35,Raw Profile,0.25916585374729906,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.45,0.5,Remove Repair,0.6938440569515918,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.45,0.5,Direct,0.35152,0.03119607385806312,1.0,0.0
Yelp,0.45,0.5,Base,0.22985714388191034,0.015520207835529926,0.0,0.0
Amazon Books,0.6,0.0,Remove Repair,0.60906279022117,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.6,0.0,Direct,0.20152,0.03119607385806312,1.0,0.0
Yelp,0.6,0.0,Raw Profile,0.5387978049963986,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.6,0.05,Remove Repair,0.60906279022117,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.6,0.05,Direct,0.20152,0.03119607385806312,1.0,0.0
Yelp,0.6,0.05,Raw Profile,0.48879780499639863,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.6,0.1,Remove Repair,0.60906279022117,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.6,0.1,Direct,0.20152,0.03119607385806312,1.0,0.0
Yelp,0.6,0.1,Raw Profile,0.43879780499639864,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.6,0.2,Remove Repair,0.60906279022117,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.6,0.2,Direct,0.20152,0.03119607385806312,1.0,0.0
Yelp,0.6,0.2,Raw Profile,0.3387978049963986,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.6,0.35,Remove Repair,0.60906279022117,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.6,0.35,Direct,0.20152,0.03119607385806312,1.0,0.0
Yelp,0.6,0.35,Base,0.22985714388191034,0.015520207835529926,0.0,0.0
Amazon Books,0.6,0.5,Remove Repair,0.60906279022117,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.6,0.5,Direct,0.20152,0.03119607385806312,1.0,0.0
Yelp,0.6,0.5,Base,0.22985714388191034,0.015520207835529926,0.0,0.0
